Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,Campion College,Biology,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Chemical Technology,10352,3782,65,2 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Chemistry,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Computer Science,10352,3782,65,2-4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Economics,10352,3782,65,1-4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Environmental Biology,10352,3782,65,2 or 4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Geography,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Geology,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Mathematics,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Medical Imaging,10352,3782,65,2 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Medical Laboratory Science,10352,3782,65,2 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Physics,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Psychology,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Software Systems Development,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Statistics,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Catholic Studies (minor),9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Pastoral Studies,18400,6553,65,1 year,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,First Nations University of Canada,Business and Public Administration,N/A,10309,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Literature in English,N/A,8833,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Environmental Health and Science,N/A,9350,70,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Access and Transition Education Certificate (IATEC),N/A,9111,65,8 months,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indian Communication Arts,N/A,8833,65,2 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Fine Arts and Indigenous Art History,N/A,9350,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Education,N/A,9111,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Environmental Science,N/A,9350,70,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Health Practice,N/A,9091,65,18 credit hours,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Health Studies,N/A,9091,70,2-4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Language and Linguistics,N/A,8833,65,4 years,"English, Indigenous Languages ",Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Social Work,N/A,9091,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Indigenous Studies,N/A,8833,65,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Resource and Environmental Studies,N/A,9350,70,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,First Nations University of Canada,Science,N/A,9350,70,4 years,English,Not available,,International tuition and admission unavailable. Please see university website for more information.,104° 34' 56" W,50° 25' 10" N,www.fnuniv.ca
Saskatchewan,Luther College,Arts,9790,3595,65,4 years,English or French,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Geographic Information Science,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Health Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Human Justice,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
Saskatchewan,Luther College,Journalism,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Tuition calculated for 5 courses. Please see university website for additional tuition and admission information. ,104° 39' 8.75" W,50° 27' 16.34" N ,www.luthercollege.edu/university
