Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes
Ontario,University of Toronto,Diaspora and Transnational Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Diaspora and Transnational Studies (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Diaspora and Transnational Studies (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Digital Enterprise Management (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Drama,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,East Asian Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Economics,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Economics and Political Science (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Employment Relations,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,English (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,English (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,English (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Ethics,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Geography,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Management (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Studies (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Equity Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,"Ethics, Society and Law","$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,European Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Finnish Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English ,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Forest Conversation (Arts),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,French (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French","600, 5 on the Test of Written English",,
Ontario,University of Toronto,French and Italian (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French, Italian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,French Language and French Linguistics,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French","600, 5 on the Test of Written English",,
Ontario,University of Toronto,French Language and Literature,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French","600, 5 on the Test of Written English",,
Ontario,University of Toronto,French Language Learning,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French","600, 5 on the Test of Written English",,
Ontario,University of Toronto,French Studies (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, French","600, 5 on the Test of Written English",,
Ontario,University of Toronto,German and Ukrainian,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, German, Ukrainian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,German Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, German","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Global Asia Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Greek,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Greek","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Health Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History and Philosophy of Science and Technology,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History and Political Science (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History of Art,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,History of Religions (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Human Geography (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Human Geography (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Hungarian Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Hungarian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Interactive Digital Media (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,International Affairs (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,International Relations,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Islamic Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Italian (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Italian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Italian (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Italian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Jewish Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Journalism (joint program with Centennial College) (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Language Teaching and Learning: French and Italian (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Latin,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Latin","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Latin American Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Linguistics (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Linguistics (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Linguistics (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Literary Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Media Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mediaeval Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Music,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Music and Culture (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Music with Ensemble Option,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Near and Middle Eastern Civilizations,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,New Media Studies (joint program with Centennial College) (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,"Peace, Conflict and Justice","$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Philosophy (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Philosophy (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Philosophy (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Physical and Human Geography (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Polish Language and Literature,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Polish Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Political Science (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Political Science (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Political Science (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Portuguese,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Prehistoric Archaeology,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Professional Writing and Communication (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Public Policy (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Public Policy (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Religion,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Religion: Christian Origins,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Renaissance Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Russian Language and Literature,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Sexual Diversity Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Sociology (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Sociology (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Sociology (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,South Slavic Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Spanish,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Spanish","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Studio (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Theatre and Performance Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,"Theatre, Drama, and Performance Studies (Mississauga)","$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Ukrainian Language and Literature,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,"English, Ukrainian","600, 5 on the Test of Written English",,
Ontario,University of Toronto,Urban Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Visual Culture and Communication (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Visual Studies,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Women and Gender Studies (Mississauga),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Women and Gender Studies (Downtown Toronto),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Women’s and Gender Studies (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Anthropology,"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Psycholinguistics (Scarborough),"$45 690 year 1,","$6400 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Actuarial Science,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Animal Physiology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Applied Mathematics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Applied Statistics (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Applied Statistics (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Astronomical Sciences,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Astronomy,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Astronomy ans Astrophysics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Astronomy and Physics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,"Behaviour, Genetics and Neurobiology","$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biochemistry (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biochemistry (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biodiversity and Conservation Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Bioinformatics (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Bioinformatics and Computational Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biological Chemistry (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biological Chemistry (Scarborough) ,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biological Chemistry (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biological Physics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biology (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biology (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biology (Mississauga) ,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biology for Health Sciences (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biomedical Physics (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biomedical Toxicology (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biomedical Toxicology (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Biotechnology (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Cell and Molecular Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Chemical Physics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Chemistry (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Chemistry (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Chemistry (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Cognitive Science (Science),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Comparative Physiology (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Computer Science (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low 90s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Computer Science (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low 90s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Computer Science (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low 90s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Conservation and Biodiversity (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Developmental Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Earth Science (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Ecology and Evolution (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Ecology and Evolutionary Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Economics and Mathematics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environment and Health,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environment and Toxicology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Biology (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Biology (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Chemistry (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Chemistry (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Geoscience (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Geosciences (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Geosciences (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Physics (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Science (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Science (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Environmental Science (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Exceptionality in Human Learning (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Financial Economics (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Financial Economics (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Forensic Science (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Forest Biomaterials Science,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Forest Conservation (Science),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,General Physics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,"Genes, Genetics and Biotechnology","$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Genome Biology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Geographical Information Systems (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Geology (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Geology (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Geophysics,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Geoscience,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Global Health,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Health and Disease,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Human Biology (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Human Biology (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Immunology,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Information Security (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Integrative Biology (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Materials Science,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematical Applications in Economics and Finance,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematical Sciences (Mississauga),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematics (Downtown Toronto),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematics (Scarborough),"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematics and its Applications,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
Ontario,University of Toronto,Mathematics and Philosophy,"$50 780 year 1,","$14 300 year 1,",Low to Mid 80s,,English,"600, 5 on the Test of Written English",,
