Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes
Ontario,University of Western Ontario,Philosophy,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Philosophy of Science (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Popular Literature and Cultural Studies (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Sexuality Studies (joint program with Modern Languages and Literatures and Women's Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Spanish Language and Linguistics,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Spanish Language and Hispanic Cultures,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Studio Arts,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Theatre Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Women's Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Writing Studies (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Chemical Engineering (Chemical or Biochemical and Enviromnetal),$33 800 first year,"$13 965.10 year 1, 13875,10 years 2, 3, 4 ",High 80s,4-6 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,"Civil Engineering (Structural, Environmental or International Development)",$33 800 first year,"$13 965.10 year 1, 13875,10 years 2, 3, 4 ",High 80s,4-6 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,"Computer Engineering (Wireless Communication, Power Systems or Biomedical Signals and Systems)",$33 800 first year,"$13 965.10 year 1, 13875,10 years 2, 3, 4 ",High 80s,4-6 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Green Process Engineering,$33 800 first year,"$13 965.10 year 1, 13875,10 years 2, 3, 4 ",High 80s,4-6 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Integrated Engineering,$33 800 first year,"$13 965.10 year 1, 13875,10 years 2, 3, 4 ",High 80s,4-6 years,English,"580, 5 on the Test of Written English",,
